month,state,handgun,long_gun,total,population
2019-10,Wisconsin,13148,15376,28524,5686986
2019-10,Wyoming,1594,2368,3962,563626
2019-09,Alabama,14259,12550,26809,4779736
2019-09,Arizona,12126,7629,19755,6392017
2019-09,Arkansas,4535,5063,9598,2915918
2019-09,California,30776,22726,53502,37253956
2019-09,Colorado,14614,12289,26903,5029196
2019-09,Connecticut,4115,1726,5841,3574097
2019-09,Delaware,1397,1378,2775,897934
2019-09,District of Columbia,94,5,99,601723
2019-09,Florida,44565,18261,62826,18801310
2019-09,Georgia,10415,7843,18258,9687653
2019-09,Idaho,3645,4776,8421,1567582
2019-09,Illinois,17639,9512,27151,12830632
2019-09,Indiana,15291,10734,26025,6483802
2019-09,Iowa,131,2288,2419,3046355
2019-09,Kansas,4405,4322,8727,2853118
2019-09,Kentucky,8526,6502,15028,4339367
2019-09,Louisiana,8996,9417,18413,4533372
2019-09,Maine,2919,4439,7358,1328361
2019-09,Maryland,2981,4714,7695,5773552
2019-09,Massachusetts,3523,2370,5893,6547629
2019-09,Michigan,9135,11241,20376,9883640
2019-09,Minnesota,8131,14379,22510,5303925
2019-09,Mississippi,6384,5653,12037,2967297
2019-09,Missouri,15032,13663,28695,5988927
2019-09,Montana,2651,4533,7184,989415
2019-09,Nebraska,63,1631,1694,1826341
2019-09,Nevada,3985,2467,6452,2700551
2019-09,New Hampshire,4458,2948,7406,1316470
2019-09,New Jersey,3760,3285,7045,8791894
2019-09,New Mexico,5517,3752,9269,2059179
2019-09,New York,8316,16334,24650,19378102
2019-09,North Carolina,1306,10756,12062,9535483
2019-09,North Dakota,1489,3300,4789,672591
2019-09,Ohio,17083,13048,30131,11536504
2019-09,Oklahoma,8852,7851,16703,3751351
2019-09,Oregon,12140,10443,22583,3831074
2019-09,Pennsylvania,40203,14471,54674,12702379
2019-09,Rhode Island,837,649,1486,1052567
2019-09,South Carolina,7420,5455,12875,4625364
2019-09,South Dakota,2068,3640,5708,814180
2019-09,Tennessee,20638,13292,33930,6346105
2019-09,Texas,42688,35840,78528,25145561
2019-09,Utah,2892,3430,6322,2763885
2019-09,Vermont,1175,1559,2734,625741
2019-09,Virginia,19517,13336,32853,8001024
2019-09,Washington,12977,8424,21401,6724540
2019-09,West Virginia,4581,5149,9730,1852994
2019-09,Wisconsin,12339,13865,26204,5686986
2019-09,Wyoming,1595,2274,3869,563626
2019-08,Alabama,18831,12672,31503,4779736
2019-08,Arizona,14272,8281,22553,6392017
2019-08,Arkansas,5267,5445,10712,2915918
2019-08,California,36607,25247,61854,37253956
2019-08,Colorado,17237,12352,29589,5029196
2019-08,Connecticut,4806,1785,6591,3574097
2019-08,Delaware,1630,1383,3013,897934
2019-08,District of Columbia,101,5,106,601723
2019-08,Florida,54215,18910,73125,18801310
2019-08,Georgia,12501,8234,20735,9687653
2019-08,Idaho,4039,4604,8643,1567582
2019-08,Illinois,19105,9281,28386,12830632
2019-08,Indiana,19883,11389,31272,6483802
2019-08,Iowa,144,1985,2129,3046355
2019-08,Kansas,5240,4730,9970,2853118
2019-08,Kentucky,10802,6592,17394,4339367
2019-08,Louisiana,10016,8147,18163,4533372
2019-08,Maine,3054,3398,6452,1328361
2019-08,Maryland,3518,4472,7990,5773552
2019-08,Massachusetts,4788,2609,7397,6547629
2019-08,Michigan,9724,8698,18422,9883640
2019-08,Minnesota,8510,11265,19775,5303925
